start,end,comments
267,322,"Fixed, Mobile"
322,328.6,"Fixed, Mobile "
328.6,335.4,Aeronautical Radionavigation 5.258
335.4,399.9,"Fixed, Mobile"
399.9,698,"Fixed, Mobile  -  RF Devices, Wireless Comms, LPTV/TV Boosters, Low Power Auxiliary"
698,758,"Fixed, Mobile Broadcasting  -  Wireless Comms, LPTV/TV Translators"
758,775,"Fixed, Mobile  -  Public Safety Land Mobile"
775,788,"Fixed, Mobile Broadcasting  -  Wireless Comms, LPTV/TV Translators"
788,805,"Fixed, Mobile  -  Public Safety Land Mobile"
805,806,"Fixed, Mobile Broadcasting  -  Wireless Comms, LPTV/TV Translators"
806,809,Land Mobile (Public Safety)
809,849,"Fixed Land Mobile  -  Public Mobile, Private Land Mobile"
849,851,Aeronautical Mobile (Public)
851,854,Land Mobile (Public)
854,894,Fixed Land Mobile  -  Public and Private
894,896,Aeronautical Mobile (Public)
896,897.5,Private Land Mobile
897.5,900.5,"Fixed, Mobile (except aeronautical mobile)  -  Wireless Comms, Private Land Mobile"
900.5,901,Fixed Land Mobile  -  Private
901,902,"Fixed, Mobile  -  Personal Comms"
902,928,"RF Devices, ISM Equipment, Private Land Mobile, Fixed Micheal Wave"
960,1160,Aeronautical Mobile/Radionav - Aviation
1160,1220,"Aeronautical Radionav, Radionav Satellite (space to earth/space to space) - Aviation"
1220,1240,"Earth Exploration - Satellite, Radiolocation, Radionav Satellite (space to earth/space to space), Space Research (First and Last are active)"
1240,1300,"Amateur Aeronautical Radionav, Earth Exploration - Satellite (Active), Space Research (Active) - Amateur Radio"
1300,1350,"Aeronautical Radionav, Radiolocation - Aviation"
1350,1390,"Fixed, Mobile Radiolocation"
1390,1395,"Fixed, Mobile (except aeronautical mobiles) - Wireless Communications"
1395,1400,Land Mobile (medical telemetry and medical telecommand)
1400,1427,"Earth Exploration - Satellite (Passive), Radio Astronomy, Space Research (Passive) - Personal Radio"
1427,1429.5,"Land Mobile (medical telemetry and medical telecommand) - Private Land Mobile, Personal Radio"
1429.5,1432,"Fixed (Telemetry and Telecommand), Land Mobile (T and T) - Private Land Mobile, Personal Radio"
1432,1435,"Fixed, Mobile except Aeronautical Mobiles - Private Land Mobile, Personal Radio - Wireless Comms"
1435,1525,Mobile (Aeronautical Telemetry) - Aviation
1525,1535,"Mobile - Satellite (space to earth) - Satellite Comms, Maritime"
1535,1559,"Mobile - Satellite (space to earth) - Satellite Comms, Maritime, Aviation"
1559,1610,"Aeronautical Radionav, Radionav Satellite (space to earth/space to space) - Aviation"
1610,1610.6,"Aeronautical Radionavigation, Radionavigation Satellite (space to Earth, space to space) - Aviation"
1610.6,1513.8,"Mobile - Satellite (earth to space), Aeronautical Radionav, Radiodetermination - Satellite (earth to space) - Satellite Comms, Aviation"
1513.8,1626.5,"Mobile - Satellite (earth to space), Aeronautical Radionav, Radiodetemination - Satellite (earth to space), Mobile - Satellite (space to Earth) - Satellite Comms, Aviation"
1626.5,1660,"Mobile - Satellite (earth to space) - Satellite Comms, Maritime, Aviation"
1660,1660.5,"Mobile - Satellite (earth to space), Radio Astronomy - Satellite Comms, Aviation"
1660.5,1668.4,"Radio Astronomy, Space Research (Passive)"
1668.4,1670,"Meteorological Aids (radiosonde), Radio Astronomy"
1670,1675,"Fixed, Mobile except Aeronautical Mobiles - Wireless Comms"
1675,1695,"Meteorological Aids (radiosonde), Meteorological Satellite (space to earth)"
1695,1710,"Meteorological Satellite (space to earth), Fixed, Mobile except Aeronautical Mobiles - Wireless Comms"
1710,1761,"Fixed, Mobile"
1761,1780,Space Operation (earth to space)
1780,1850,"Fixed, Mobile, Space Operation (earth to space)"
1850,2000,"Fixed, Mobile - Rf Devices, Personal Comms, Wireless Comss, Fixed Microwave"
2000,2020,"Fixed, Mobile, Mobile Satellite (earth to space) - Satellite Comms, Wireless Comms"
2020,2025,"Fixed, Mobile"
2025,2110,"Space Operation (earth to space, space to space). Earth Exploration Satellite (E to S, S to S), Space Research (E to S, S to S), Fixed, Mobile - TV Aux Broadcasting, Cable TV Relay, Local TV Transmission"
2110,2120,"Fixed, Mobile - Public Mobile, Wireless Comms, Fixed Mircrowave"
2120,2180,"Fixed, Mobile"
2180,2200,"Fixed, Mobile, Mobile Satellite (space to Earth) - Satellite Comms, Wireless Comms"
2200,2290,"Space Operation (space to Earth, space to space), Earth Exploration Satellite (S to E, S to S), Fixed, Mobile (Line of Sight Only, including Aeronautical Telemetry, but excluding Flight Testing of Manned Aircraft), Space Research (S to E, S to S)"
2290,2300,"Fixed, Mobile (except aeronautical mobiles), Space Research of Deep Space (space to Earth)"
2300,2305,Amateur Radio
2305,2310,"Fixed, Mobile (except aeronautical mobiles), Radiolocation, Amateur - Wireless Comms and Amateur Radio"
2310,2320,"Fixed, Mobile, Radiolocation, Broadcasting Satellite - Wireless Comms"
2320,2345,"Fixed Radiolocation, Broadcasting Satellite - Satellite Comms"
2345,2360,"Fixed, Mobile, Radiolcation, Broadcasting Satellite - Wireless Comms"
2360,2390,"Mobile, Radiolocation (Fixed) - Aviation, Personal Radio"
2390,2395,"Mobile, Amateur Mobile - Aviation, Personal and Amateur Radio"
2395,2400,Amateur - Personal and Amateur Radio
2400,2417,"Amateur - RF Devices, ISM Equipment, Amateur Radio"
2417,2450,"Amateur - RF Devices, ISM Equipment, Amateur Radio"
2450,2483.5,"Fixed, Mobile, Radiolocation - RF Devices, ISM Equipment, TV Aux Broadcasting, Private Land Mobile, Fixed Microwave"
2483.5,2495,"Mobile Satellite (space to Earth), Radiodetermination Satellite (space to Earth) - ISM Equipment, Satellite Comms"
2495,2500,"Fixed, Mobile (except aeronautical mobiles), Mobile Satellite (space to Earth), Radiodetermination Satellite (space to Earth) - ISM Equipment, Satellite Comms, Wireless Comms"
2500,2655,"Fixed, Mobile (except aeronautical mobiles) - Wireless Communications"
3700,4000,"Fixed, Mobile (except aeronautical mobiles) - Wireless Communications"
4000,4200,"Fixed, Fixed Satellite (space to Earth) - Satellite Comms"
4200,4400,Aeronautical Radionavigation - Aviation
4400,4500,"Fixed, Mobile"
4500,4800,"Fixed, Mobile, Fixed Satellite (space to Earth)"
4800,4940,"Fixed, Mobile"
4940,4990,"Fixed, Mobile (except aeronautical mobiles) - Public Safety Land Mobile"
4990,5000,"Radio Astronomy, Space Research (Passive)"
5000,5010,"Aeronautical Mobile (R), Aeronautical Mobile Satellite, Aeronautical Radionavigation, Radionavigation Satellite (Earth to Space) - Aviation"
